blocks;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
0;;ICE_0 ;;;;;;;;;;RE_0 ;RE_0 ;;;;;;;;;;;;;;;;;;;RE_1 ;RE_1 ;;;;;;;;;;;;;;;;;;;;;
1;;;ICE_0 ;;;;;;;;;;;RE_0 ;RE_0 ;;;;;;;;;;;;;;;;;;;RE_1 ;RE_1 ;;;;;;;;;;;;;;;;;;;
1#;;;;ICE_0 ;;;;;;;;;;;;RE_0 ;;;;;;;;;;;;;;;;;;;;RE_1 ;;;;;;;;;;;;;;;;;;
2;;;;;ICE_0 ;;;;;;;;;;;;RE_0 ;RE_0 ;;;;;;;;;;;;;;;;;;;RE_1 ;RE_1 ;;;;;;;;;;;;;;;;
2#;;;;;;ICE_0 ;;;;;;;;;;;;;RE_0 ;RE_0 ;;;;;;;;;;;;;;;;;;;RE_1 ;RE_1 ;;;;;;;;;;;;;;
3;;;;;;;ICE_0 ;;;;;;;;;;;;;;RE_0 ;RE_0 ;;;;;;;;;;;;;;;;;;;RE_1 ;RE_1 ;;;;;;;;;;;;
3#;;;;;;;;ICE_0 ;;;;;;;;;;;;;;;RE_0 ;;;;;;;;;;;;;;;;;;;;RE_1 ;;;;;;;;;;;
4;;;;;;;;;ICE_0 ;;;;;;;;;;;;;;;RE_0 ;;;;;;;;;;;;;;;;;;;;RE_1 ;;;;;;;;;;
4#;;;;;;;;;;ICE_0 ;;;;;;;;;;;;;;;RE_0 ;RE_0 ;;;;;;;;;;;;;;;;;;;RE_1 ;RE_1 ;;;;;;;;
5;;;;;;;;;;;ICE_0 ;ICE_0 ;ICE_0 ;ICE_0 ;ICE_0 ;ICE_0 ;ICE_0 ;ICE_0 ;ICE_0 ;ICE_0 ;;;;;;;RE_0 ;RE_0 ;RE_0 ;RE_0 ;;;;;;;;;;;;;;;;;RE_1 ;RE_1 ;RE_1 ;RE_1 ;;;;
5#;;;;;;;;;;;;;;;;;;;;;ICE_0 ;;;;;;;;;;RE_0 ;;;;;;;;;;;;;;;;;;;;RE_1 ;;;
6;;;;;;;;;;;;;;;;;;;;;;ICE_0 ;;;;;;;;;;RE_0 ;;;;;;;;;;;;;;;;;;;;RE_1 ;;
6#;;;;;;;;;;;;;;;;;;;;;;;ICE_0 ;;;;;;;;;;RE_0 ;;;;;;;;;;;;;;;;;;;;RE_1 ;
7;;;;;;;;;;;;;;;;;;;;;;;;ICE_0_;;;;;;;;;;RE_0_;;;;;;;;;;;;;;;;;;;;RE_1_
